id,new_em_trim,gpt_em_trim,new_code,gpt_code,prompt
841,1,0,"
class StylableButton: UIButton, Stylable {
    setBackgroundImageColor(style.normalStateColors.background, for: .normal)
    setBackgroundImageColor(style.highlightedStateColors.background, for: .highlighted)
    setBackgroundImageColor(style.selectedStateColors?.background, for: .selected)

    self.layer.borderWidth = 1
    self.layer.borderColor = isHighlighted ? style.highlightedStateColors.border.cgColor : style.normalStateColors.border.cgColor
    self.layer.borderColor = isSelected ? style.selectedStateColors?.border.cgColor : style.normalStateColors.border.cgColor
}
","
class StylableButton: UIButton, Stylable {
    func setButtonBackgroundImageColor(_ color: UIColor?, for state: UIControl.State) {
        guard let color = color else { return }
        setBackgroundImageColor(color, for: state)
    }
    
    func setButtonBorderColor(_ color: UIColor?, for state: UIControl.State) {
        guard let color = color else { return }
        self.layer.borderColor = color.cgColor
    }
    
    func setButtonBorderWidth(_ width: CGFloat) {
        self.layer.borderWidth = width
    }
    
    func updateButtonStyle(_ style: ButtonStyle, isHighlighted: Bool, isSelected: Bool) {
        setButtonBackgroundImageColor(style.normalStateColors.background, for: .normal)
        setButtonBackgroundImageColor(style.highlightedStateColors.background, for: .highlighted)
        setButtonBackgroundImageColor(style.selectedStateColors?.background, for: .selected)
        
        setButtonBorderColor(isHighlighted ? style.highlightedStateColors.border : style.normalStateColors.border, for: .highlighted)
        setButtonBorderColor(isSelected ? style.selectedStateColors?.border : style.normalStateColors.border, for: .selected)
    }
}
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
class StylableButton: UIButton, Stylable {
        setBackgroundImageColor(style.normalStateColors.background, for: .normal)
        setBackgroundImageColor(style.highlightedStateColors.background, for: .highlighted)
        setBackgroundImageColor(style.selectedStateColors?.background, for: .selected)
 
        self.layer.borderWidth = 1
        self.layer.borderColor = isHighlighted ? style.highlightedStateColors.border.cgColor : style.normalStateColors.border.cgColor
        self.layer.borderColor = isSelected ? style.selectedStateColors?.border.cgColor : style.normalStateColors.border.cgColor
```
There is the code review for this code:
Swift lint issue
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
1080,1,0,"
final class BackupStatusCell: UITableViewCell {
    backgroundColor = .clear
    contentView.backgroundColor = .clear

    iconView.tintColor = SemanticColors.LabelsColor.textLabelSettingsCell
    iconView.setTemplateIcon(.restore, size: .large)
    iconView.contentMode = .center
    iconView.translatesAutoresizingMaskIntoConstraints = false
}
","
final class BackupStatusCell: UITableViewCell {
        backgroundColor = .clear
        contentView.backgroundColor = .clear

        SemanticColors.LabelsColor.textLabelSettingsCell
        iconView.setTemplateIcon(.restore, size: .large)
        iconView.tintColor = SemanticColors.LabelsColor.textLabelSettingsCell
        iconView.contentMode = .center
        iconView.translatesAutoresizingMaskIntoConstraints = false
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
final class BackupStatusCell: UITableViewCell {
        backgroundColor = .clear
        contentView.backgroundColor = .clear

        tintColor = SemanticColors.LabelsColor.textLabelSettingsCell
        iconView.setTemplateIcon(.restore, size: .large)
        iconView.contentMode = .center
        iconView.translatesAutoresizingMaskIntoConstraints = false
```
There is the code review for this code:
Here I think you're setting the tintColor for the cell not the iconView. Please update it.
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
174,1,0,"
class StorageMetadataTests: XCTestCase {
    ]
    let metadata0 = StorageMetadata(dictionary: metaDict)
    let metadata1 = metadata0.copy() as? StorageMetadata
    // Verify that copied object has a new reference.
    XCTAssertFalse(metadata0 === metadata1)
    XCTAssertEqual(metadata0, metadata1)
  }
}
","
class StorageMetadataTests: XCTestCase {
    ]
    let metadata0 = StorageMetadata(dictionary: metaDict)
    let metadata1 = metadata0.copy() as? StorageMetadata
    XCTAssertFalse(metadata0 === metadata1) // Verify that copied object has a new reference.
    XCTAssertEqual(metadata0, metadata1)
  }
}
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
class StorageMetadataTests: XCTestCase {
    ]
    let metadata0 = StorageMetadata(dictionary: metaDict)
    let metadata1 = metadata0.copy() as? StorageMetadata
    XCTAssertEqual(metadata0, metadata1)
  }
}
```
There is the code review for this code:
Is this assertion a worthy addition when testing copy'ing?
```suggestion
    // Verify that copied object has a new reference.
    XCTAssertFalse(metadata0 === metadata1)
    XCTAssertEqual(metadata0, metadata1)
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
445,1,0,"
+ (NSString *)longHostname {
+ (NSString *)modelIdentifier {
  struct utsname systemInfo;
  uname(&systemInfo);
  return @(systemInfo.machine);
}

#pragma mark - Internal
","
+ (NSString *)longHostname {
+ (NSString *)modelIdentifier {
  struct utsname systemInfo;
  uname(&systemInfo);
  return [NSString stringWithFormat:@""%@"", @(systemInfo.machine)];
}

#pragma mark - Internal
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
+ (NSString *)longHostname {
+ (NSString *)modelIdentifier {
  struct utsname systemInfo;
  uname(&systemInfo);
  return [NSString stringWithCString:systemInfo.machine encoding:NSUTF8StringEncoding];
}

#pragma mark - Internal
```
There is the code review for this code:
You can use a boxed expression here:

```
return @(systemInfo.machine)
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
784,1,0,"
class JavalinJackson(private var objectMapper: ObjectMapper? = null) : JsonMappe
                .registerOptionalModule(OptionalDependency.JACKSON_KT.testClass)
                .registerOptionalModule(OptionalDependency.JACKSON_JSR_310.testClass)
                // extra dependencies
            .registerOptionalModule(OptionalDependency.JACKSON_KTORM.testClass)
    }
}
","
class JavalinJackson(private var objectMapper: ObjectMapper? = null) : JsonMapper {
    init {
        objectMapper = objectMapper ?: ObjectMapper()
        objectMapper.registerModule(KotlinModule())
        objectMapper.registerModule(JavaTimeModule())
        // extra dependencies
        objectMapper.registerModule(KtormModule())
    }
}
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
class JavalinJackson(private var objectMapper: ObjectMapper? = null) : JsonMappe
                .registerOptionalModule(OptionalDependency.JACKSON_KT.testClass)
                .registerOptionalModule(OptionalDependency.JACKSON_JSR_310.testClass)
                // extra dependencies
            .registerOptionalModule(OptionalDependency.JACKSON_KTORM.testClass)
    }
}

```
There is the code review for this code:
Indentation should be the same here as above
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
337,1,0,"
const config = {
        darkTheme: darkCodeTheme,
        additionalLanguages: ['kotlin', 'groovy', 'java'],
      },
        algolia: {
          appId: '5PZNXB7M3G',
          apiKey: '6f23d0811156d77c936736893b97c5fd',
          indexName: 'detekt',
          contextualSearch: true,
        },
    }),

  customFields: {
```

Revised code:
```
const config = {
        darkTheme: darkCodeTheme,
        additionalLanguages: ['kotlin', 'groovy', 'java'],
      },
        algolia: {
          appId: '5PZNXB7M3G',
          apiKey: '6f23d0811156d77c936736893b97c5fd',
          indexName: 'detekt',
          contextualSearch: true,
        },
    }),

  customFields: {
","
const config = {
  darkTheme: darkCodeTheme,
  additionalLanguages: ['kotlin', 'groovy', 'java'],
  algolia: {
    appId: '5PZNXB7M3G',
    apiKey: '6f23d0811156d77c936736893b97c5fd',
    indexName: 'detekt',
    contextualSearch: true,
  },
},
customFields: {
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
const config = {
        darkTheme: darkCodeTheme,
        additionalLanguages: ['kotlin', 'groovy', 'java'],
      },
        algolia: {
          appId: '5PZNXB7M3G',
          apiKey: '6f23d0811156d77c936736893b97c5fd',
          indexName: 'detekt',
          contextualSearch: true,
        },
    }),

  customFields: {
```
There is the code review for this code:
nit: Shouldn't this heve 2 less indentation spaces?
```suggestion
      algolia: {
        appId: '5PZNXB7M3G',
        apiKey: '6f23d0811156d77c936736893b97c5fd',
        indexName: 'detekt',
        contextualSearch: true,
      },
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
384,1,0,"
import kotlinx.serialization.ExperimentalSerializationApi
@ExperimentalSerializationApi
public interface ChunkedDecoder {
    /**
     * Method allows decoding a string value by fixed-size chunks.
     * Usable for handling very large strings.
     * Chunk size defined in the JsonLexer#BATCH_SIZE constant.
     * Feeds string chunks to the provided consumer.
     */
    public fun decode(input: String, consumer: (String) -> Unit) {
        val batchSize = JsonLexer.BATCH_SIZE
        var offset = 0
        while (offset < input.length) {
            val chunk = input.substring(offset, Math.min(offset + batchSize, input.length))
            consumer(chunk)
            offset += batchSize
        }
    }
}
","
import kotlinx.serialization.ExperimentalSerializationApi
@ExperimentalSerializationApi
public interface ChunkedDecoder {
    /**
     * Method allows decoding a string value by fixed-size chunks.
     * This is usable for handling very large strings.
     * Chunk size is defined in the JsonLexer#BATCH_SIZE constant.
     * Feeds string chunks to the provided consumer.
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
import kotlinx.serialization.ExperimentalSerializationApi
@ExperimentalSerializationApi
public interface ChunkedDecoder {
    /**
     * Method allow decoding a string value by fixed-size chunks.
     * Usable for handling very large strings.
     * Chunk size defined in the JsonLexer#BATCH_SIZE constant.
     * Feeds string chunks to the provided consumer.
```
There is the code review for this code:
```suggestion
     * Method allows decoding a string value by fixed-size chunks.
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
2,1,0,"
class MapDataCache(
    }

    fun getElement(type: ElementType, id: Long, fetch: (ElementType, Long) -> Element?): Element? {
        val element = if (type == ElementType.NODE) spatialCache.get(id)
        else synchronized(this) { wayRelationCache.getOrPutIfNotNull(ElementKey(type, id)) { fetch(type, id) } }
        return element ?: fetch(type, id)
    }

","
val element = if (type == ElementType.NODE) {
    spatialCache.get(id)
} else {
    synchronized(this) {
        wayRelationCache.getOrPutIfNotNull(ElementKey(type, id)) { fetch(type, id) }
    }
}
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
class MapDataCache(
    }

    fun getElement(type: ElementType, id: Long, fetch: (ElementType, Long) -> Element?): Element? {
        val element = if (type == ElementType.NODE) spatialCache.get(id)
        else synchronized(this) { wayRelationCache.getOrPutIfNotNull(ElementKey(type, id)) { fetch(type, id) } }
        return element ?: fetch(type, id)
    }

```
There is the code review for this code:
The format had me confused for a bit

```suggestion
        val element = 
            if (type == ElementType.NODE) spatialCache.get(id)
            else synchronized(this) { wayRelationCache.getOrPutIfNotNull(ElementKey(type, id)) { fetch(type, id) } }
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
999,1,0,"
package de.westnordost.streetcomplete.quests.seating

enum class Seating(val hasOutdoorSeating: Boolean, val hasIndoorSeating: Boolean) {
    NO(false, false),
    ONLY_INDOOR(false, true),
    ONLY_OUTDOOR(true, false),
    INDOOR_AND_OUTDOOR(true, true),
}
","
enum class Seating(val hasOutdoorSeating: Boolean, val hasIndoorSeating: Boolean) {
    NO(false, false),
    ONLY_INDOOR(false, true),
    ONLY_OUTDOOR(true, false),
    INDOOR_AND_OUTDOOR(true, true),
}
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```

package de.westnordost.streetcomplete.quests.seating

enum class Seating {
    NO,
    ONLY_INDOOR,
    ONLY_OUTDOOR,
    INDOOR_AND_OUTDOOR,
}
```
There is the code review for this code:
You can give some extra attributes to enum members, which can simplify the logic in `applyAnswerTo` (see my next comment):

```suggestion
enum class Seating(val hasOutdoorSeating: Boolean, val hasIndoorSeating: Boolean) {
    NO(false, false),
    ONLY_INDOOR(false, true),
    ONLY_OUTDOOR(true, false),
    INDOOR_AND_OUTDOOR(true, true),
}
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
1052,1,0,"
modify_in <- function(.x, .where, .f, ...) {
    assign_in <- function(x, where, value) {
        n <- length(where)
        if (n == 0) {
            cli::cli_abort(""{.arg where} must contain at least one element."", arg = ""where"")
        } else if (n > 1) {
            old <- pluck(x, where[[1]], .default = list())
            if (!is_zap(value) || !identical(old, list())) {
","
modify_in <- function(.x, .where, .f, ...) {
  assign_in <- function(x, where, value) {
    n <- length(where)
    if (n == 0) {
      cli::cli_abort(""{.arg} must contain at least one element."", arg = ""where"")
    } else if (n > 1) {
      old <- pluck(x, where[[1]], .default = list())
      if (!is_zap(value) || !identical(old, list())) {
","[INST]As a developer, imagine you've submitted a pull request and your team leader requests you to make a change to a piece of code. The old code being referred to in the hunk of code changes is:
```
modify_in <- function(.x, .where, .f, ...) {
assign_in <- function(x, where, value) {
  n <- length(where)
  if (n == 0) {
    cli::cli_abort(""{.arg where} must contain at least one element"")
  } else if (n > 1) {
    old <- pluck(x, where[[1]], .default = list())
    if (!is_zap(value) || !identical(old, list())) {
```
There is the code review for this code:
```suggestion
    cli::cli_abort(""{.arg where} must contain at least one element."", arg = ""where"")
```
Please generate the revised code according to the review. Please ensure that the revised code follows the original code format and comments, unless it is explicitly required by the review.              
In your response, put the revised code between triple backticks and avoid mentioning the programming language between the backticks.[/INST]"
