_id,language
10892,go
1332,kotlin
1861,kotlin
14812,scala
8694,python
4855,javascript
13946,kotlin
12257,go
3396,scala
803,swift
11587,python
9826,java
1817,kotlin
14817,scala
9730,python
13203,python
13749,kotlin
867,swift
2580,r
13988,kotlin
5821,javascript
11018,ruby
9221,go
14854,scala
13441,kotlin
5112,python
8986,go
10079,python
12562,go
1614,kotlin
3963,scala
5645,python
3286,scala
4586,cpp
13222,python
6319,python
4618,cpp
14891,scala
6841,java
95,swift
4155,go
12295,go
6299,c
12605,python
7733,go
3991,scala
11537,go
7807,go
12028,go
2257,r
11986,ruby
12722,python
8411,java
13480,kotlin
10711,python
13347,python
7878,go
1952,kotlin
5936,python
2525,r
7159,ruby
188,swift
11685,c
5181,cpp
14293,scala
9740,python
8111,csharp
12329,go
969,kotlin
14630,scala
373,swift
8331,scala
9461,cpp
13754,kotlin
12615,python
2060,kotlin
1354,kotlin
4412,python
8108,csharp
4022,csharp
2779,r
12369,csharp
5946,python
12470,java
1290,kotlin
4367,go
4272,python
13095,cpp
10097,go
1478,kotlin
6025,python
1120,kotlin
6131,cpp
11433,kotlin
2926,sql
1560,swift
4499,java
4910,go
14525,scala
9435,cpp
3724,scala
11893,java
7437,csharp
7034,go
369,swift
4981,go
2540,r
14170,kotlin
7938,java
4479,java
13194,python
5396,go
6815,go
11712,javascript
12894,python
2700,r
2550,r
14002,kotlin
1989,kotlin
7404,csharp
5280,go
7207,go
7236,python
8771,java
14788,java
12967,javascript
10026,go
4625,cpp
14728,scala
2054,kotlin
12472,java
2421,r
9847,javascript
2057,kotlin
11874,go
7099,ruby
6940,go
4498,java
8938,go
6621,php
1452,kotlin
4808,ruby
7893,go
3670,scala
10442,go
8417,scala
4805,ruby
13444,kotlin
2142,kotlin
10177,cpp
6560,php
14231,scala
3548,scala
1205,kotlin
4302,go
9433,cpp
5730,cpp
2866,r
2046,kotlin
7973,python
5829,csharp
1774,kotlin
13378,python
319,swift
10283,go
6810,go
7831,go
3603,scala
12816,ruby
8604,go
11828,php
7660,csharp
13330,python
9404,c
1254,kotlin
7460,csharp
913,swift
13184,python
1987,kotlin
3549,scala
411,swift
5350,go
10988,ruby
7257,python
11909,java
6660,javascript
14012,kotlin
1977,kotlin
11813,php
3797,scala
6070,python
4982,go
13981,java
5030,go
1632,kotlin
1393,kotlin
9184,go
13120,go
10220,java
14860,scala
7101,javascript
6647,php
10870,go
10024,go
5858,go
5874,go
448,swift
13225,python
9526,sql
2262,r
10863,go
12226,csharp
4954,go
11434,kotlin
10473,go
10219,java
5332,sql
5407,go
5580,go
10536,python
10834,go
10154,java
2328,r
2150,kotlin
14887,scala
7592,csharp
6710,java
3216,scala
139,swift
5685,python
7380,csharp
9642,python
5472,go
1638,kotlin
7716,go
10260,ruby
5865,go
579,swift
12005,cpp
5751,cpp
10229,java
11075,csharp
8666,go
13571,kotlin
2979,javascript
5935,python
7735,go
6584,java
5549,go
12164,csharp
12159,csharp
12478,scala
12930,python
1280,kotlin
8615,go
13495,kotlin
983,kotlin
4151,go
12797,python
2774,r
12767,go
8014,c
8182,java
5460,go
10644,python
6403,ruby
14625,scala
1692,kotlin
9432,cpp
12760,go
12837,python
11913,python
12585,python
2795,r
8567,scala
170,swift
5434,go
9122,python
7153,ruby
12669,go
12665,go
5117,python
1500,kotlin
4345,go
5973,cpp
3595,scala
11504,python
1412,kotlin
12442,scala
8999,go
14399,scala
12998,javascript
10313,go
3504,scala
3341,scala
13013,javascript
5636,python
3270,scala
9185,go
8484,java
5207,go
2675,r
11752,ruby
3703,scala
5835,csharp
492,swift
7409,csharp
9630,python
14133,kotlin
6812,go
11493,python
8324,java
6609,java
7656,csharp
5008,go
10102,go
2208,sql
8379,java
831,swift
1784,kotlin
4002,python
12892,python
14418,scala
13310,python
13282,python
12250,go
14869,scala
7945,go
3836,scala
10018,go
3230,scala
6054,python
4881,go
4449,java
6424,ruby
12495,java
10479,go
11655,php
11174,go
12698,php
1295,javascript
5091,python
8954,go
11707,sql
6499,ruby
6213,php
9792,python
14663,scala
6215,php
1173,kotlin
6987,python
4086,go
7724,go
14655,scala
4862,go
8768,python
8514,java
13570,kotlin
11207,go
14351,scala
8169,java
11030,ruby
14586,scala
14128,kotlin
10088,go
9095,php
3344,scala
583,swift
2299,r
13784,kotlin
12361,csharp
9869,java
9798,java
217,swift
9727,python
5622,csharp
6957,cpp
7898,go
4392,java
8193,java
9175,csharp
11094,go
8948,go
9897,javascript
3598,scala
11943,python
8507,java
1503,kotlin
5626,sql
12977,java
1842,kotlin
2111,kotlin
4938,go
7075,c
